"filename", "language", "pip requirements", "JSON", "TypeScript JSX", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\app\globals.css", "PostCSS", 0, 0, 0, 0, 427, 0, 40, 467
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\app\layout.tsx", "TypeScript JSX", 0, 0, -2, 0, 0, 2, 0, 0
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -4, -4
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\app\sign-in\[[...sign]]\page.tsx", "TypeScript JSX", 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\app\sign-up\[[...sign-up]]\page.tsx", "TypeScript JSX", 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\bun.lock", "JSON with Comments", 0, 0, 0, 24, 0, 0, 22, 46
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\landing\hero-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 5
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\layout\header-wrapper.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 4, 11
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\layout\header.tsx", "TypeScript JSX", 0, 0, 72, 0, 0, 0, 8, 80
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\providers\query-provider.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\package.json", "JSON", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\requirements.txt", "pip requirements", 18, 0, 0, 0, 0, 3, 3, 24
"Total", "-", 18, 2, 112, 24, 427, 5, 86, 674
