"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\app\(main)\api\[[...route]]\route.ts", "TypeScript", 6, 0, 1, 2, 9
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\app\(main)\communities\layout.tsx", "TypeScript JSX", 0, 26, 0, 2, 28
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\app\(main)\communities\page.tsx", "TypeScript JSX", 0, 2, 0, 2, 4
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\app\(main)\dashboard\page.tsx", "TypeScript JSX", 0, -20, 14, -4, -10
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\app\server\community-routes.ts", "TypeScript", -10, 0, 1, -2, -11
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\app\server\middleware\auth-middleware.ts", "TypeScript", 19, 0, 0, 6, 25
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\app\server\users-routes.ts", "TypeScript", 13, 0, 0, 7, 20
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\communities\add-learning-goal.tsx", "TypeScript JSX", 0, 77, 0, 4, 81
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\dashboard.tsx\stats-card.tsx", "TypeScript JSX", 0, -17, 0, -2, -19
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\dashboard\stats-card.tsx", "TypeScript JSX", 0, 17, 0, 2, 19
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\ui\textarea.tsx", "TypeScript JSX", 0, 15, 1, 5, 21
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\hooks\use-communities.ts", "TypeScript", 14, 0, 0, 4, 18
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\hooks\use-goals.ts", "TypeScript", 40, 0, 0, 5, 45
"c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\lib\user-utils.ts", "TypeScript", 7, 0, 0, 0, 7
"Total", "-", 89, 100, 17, 31, 237
