Date : 2026-02-17 00:31:24
Directory : c:\Users\nagar\Desktop\meetsy\NexAI\next-ai
Total : 54 files,  3816 codes, 70 comments, 990 blanks, all 4876 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |         17 |      1,424 |         39 |        172 |      1,635 |
| TypeScript JSX     |         30 |      1,174 |         29 |        165 |      1,368 |
| JSON with Comments |          2 |        676 |          0 |        594 |      1,270 |
| PostCSS            |          1 |        449 |          0 |         45 |        494 |
| JSON               |          1 |         57 |          0 |          1 |         58 |
| JavaScript         |          2 |         20 |          2 |          5 |         27 |
| Markdown           |          1 |         16 |          0 |          8 |         24 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |         54 |      3,816 |         70 |        990 |      4,876 |
| . (Files)                                                                                |          9 |        792 |          5 |        617 |      1,414 |
| app                                                                                      |         13 |        829 |         26 |        144 |        999 |
| app (Files)                                                                              |          3 |        530 |          3 |         68 |        601 |
| app\(main)                                                                               |          5 |        214 |         22 |         47 |        283 |
| app\(main) (Files)                                                                       |          1 |         10 |          0 |          3 |         13 |
| app\(main)\api                                                                           |          1 |         56 |          4 |         21 |         81 |
| app\(main)\api\[[...route]]                                                              |          1 |         56 |          4 |         21 |         81 |
| app\(main)\communities                                                                   |          2 |         28 |          0 |          4 |         32 |
| app\(main)\dashboard                                                                     |          1 |        120 |         18 |         19 |        157 |
| app\server                                                                               |          3 |         69 |          1 |         25 |         95 |
| app\server (Files)                                                                       |          2 |         50 |          1 |         19 |         70 |
| app\server\middleware                                                                    |          1 |         19 |          0 |          6 |         25 |
| app\sign-in                                                                              |          1 |          8 |          0 |          2 |         10 |
| app\sign-in\[[...sign]]                                                                  |          1 |          8 |          0 |          2 |         10 |
| app\sign-up                                                                              |          1 |          8 |          0 |          2 |         10 |
| app\sign-up\[[...sign-up]]                                                               |          1 |          8 |          0 |          2 |         10 |
| components                                                                               |         22 |        919 |          8 |        112 |      1,039 |
| components\communities                                                                   |          1 |         77 |          0 |          4 |         81 |
| components\dashboard                                                                     |          1 |         17 |          0 |          2 |         19 |
| components\landing                                                                       |          7 |        361 |          7 |         38 |        406 |
| components\layout                                                                        |          3 |         90 |          0 |         13 |        103 |
| components\providers                                                                     |          1 |         19 |          0 |          4 |         23 |
| components\ui                                                                            |          9 |        355 |          1 |         51 |        407 |
| db                                                                                       |          5 |      1,157 |         30 |         96 |      1,283 |
